stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI4,22.0,38.0,21.0,23.0,15.0,21.0,38.0,PM10,BAIK
DKI4,27.0,39.0,21.0,14.0,15.0,12.0,39.0,PM10,BAIK
DKI4,26.0,42.0,21.0,14.0,14.0,10.0,42.0,PM10,BAIK
DKI4,29.0,44.0,21.0,11.0,17.0,14.0,44.0,PM10,BAIK
DKI4,33.0,50.0,23.0,9.0,20.0,13.0,50.0,PM10,BAIK
DKI4,37.0,53.0,23.0,12.0,19.0,14.0,53.0,PM10,SEDANG
DKI4,19.0,39.0,22.0,7.0,22.0,11.0,39.0,PM10,BAIK
DKI4,15.0,27.0,21.0,6.0,18.0,8.0,27.0,PM10,BAIK
DKI4,30.0,46.0,23.0,9.0,19.0,9.0,46.0,PM10,BAIK
DKI4,23.0,31.0,23.0,8.0,20.0,11.0,31.0,PM10,BAIK
DKI4,51.0,55.0,23.0,12.0,19.0,13.0,55.0,PM10,SEDANG
DKI4,27.0,45.0,24.0,7.0,17.0,11.0,45.0,PM10,BAIK
DKI4,28.0,35.0,23.0,9.0,12.0,8.0,35.0,PM10,BAIK
DKI4,43.0,55.0,22.0,18.0,21.0,11.0,55.0,PM10,SEDANG
DKI4,25.0,37.0,10.0,12.0,14.0,8.0,37.0,PM10,BAIK
DKI4,21.0,27.0,10.0,8.0,15.0,9.0,27.0,PM10,BAIK
DKI4,16.0,26.0,10.0,10.0,14.0,13.0,26.0,PM10,BAIK
DKI4,33.0,50.0,12.0,19.0,22.0,17.0,50.0,PM10,BAIK
DKI4,23.0,45.0,12.0,10.0,30.0,17.0,45.0,PM10,BAIK
DKI4,21.0,48.0,11.0,11.0,19.0,11.0,48.0,PM10,BAIK
DKI4,22.0,30.0,11.0,10.0,12.0,12.0,30.0,PM10,BAIK
DKI4,14.0,26.0,13.0,8.0,14.0,11.0,26.0,PM10,BAIK
DKI4,23.0,32.0,12.0,10.0,14.0,9.0,32.0,PM10,BAIK
DKI4,23.0,34.0,13.0,8.0,16.0,10.0,34.0,PM10,BAIK
DKI4,20.0,33.0,14.0,8.0,15.0,11.0,33.0,PM10,BAIK
DKI4,14.0,22.0,11.0,8.0,15.0,9.0,22.0,PM10,BAIK
DKI4,16.0,27.0,12.0,8.0,17.0,9.0,27.0,PM10,BAIK
DKI4,16.0,27.0,12.0,10.0,18.0,9.0,27.0,PM10,BAIK
DKI4,22.0,39.0,12.0,14.0,15.0,11.0,39.0,PM10,BAIK
DKI4,14.0,31.0,12.0,16.0,11.0,10.0,31.0,PM10,BAIK
DKI4,35.0,52.0,15.0,18.0,18.0,14.0,52.0,PM10,SEDANG
DKI4,30.0,54.0,12.0,13.0,17.0,12.0,54.0,PM10,SEDANG
DKI4,33.0,46.0,14.0,15.0,15.0,11.0,46.0,PM10,BAIK
DKI4,27.0,49.0,13.0,17.0,12.0,9.0,49.0,PM10,BAIK
DKI4,20.0,26.0,12.0,7.0,14.0,8.0,26.0,PM10,BAIK
DKI4,18.0,27.0,13.0,6.0,12.0,7.0,27.0,PM10,BAIK
DKI4,12.0,27.0,11.0,10.0,13.0,10.0,27.0,PM10,BAIK
DKI4,52.0,50.0,12.0,9.0,22.0,10.0,52.0,PM25,SEDANG
DKI4,14.0,33.0,12.0,9.0,26.0,13.0,33.0,PM10,BAIK
DKI4,15.0,39.0,12.0,9.0,24.0,13.0,39.0,PM10,BAIK
DKI4,14.0,41.0,12.0,10.0,23.0,12.0,41.0,PM10,BAIK
DKI4,21.0,52.0,13.0,13.0,24.0,14.0,52.0,PM10,SEDANG
DKI4,30.0,52.0,14.0,16.0,22.0,20.0,52.0,PM10,SEDANG
DKI4,14.0,35.0,13.0,9.0,16.0,14.0,35.0,PM10,BAIK
DKI4,16.0,31.0,13.0,8.0,19.0,14.0,31.0,PM10,BAIK
DKI4,19.0,40.0,13.0,12.0,21.0,20.0,40.0,PM10,BAIK
DKI4,23.0,44.0,13.0,11.0,20.0,19.0,44.0,PM10,BAIK
DKI4,22.0,42.0,13.0,12.0,23.0,19.0,42.0,PM10,BAIK
DKI4,32.0,58.0,14.0,17.0,21.0,23.0,58.0,PM10,SEDANG
DKI4,52.0,72.0,15.0,14.0,19.0,15.0,72.0,PM10,SEDANG
DKI4,39.0,56.0,16.0,11.0,19.0,23.0,56.0,PM10,SEDANG
DKI4,23.0,43.0,14.0,9.0,12.0,8.0,43.0,PM10,BAIK
DKI4,35.0,54.0,15.0,18.0,15.0,21.0,54.0,PM10,SEDANG
DKI4,60.0,77.0,14.0,24.0,14.0,12.0,77.0,PM10,SEDANG
DKI4,35.0,33.0,15.0,11.0,20.0,14.0,35.0,PM25,BAIK
DKI4,39.0,46.0,17.0,10.0,23.0,18.0,46.0,PM10,BAIK
DKI4,33.0,37.0,16.0,10.0,18.0,12.0,37.0,PM10,BAIK
DKI4,36.0,42.0,17.0,15.0,17.0,15.0,42.0,PM10,BAIK
DKI4,43.0,36.0,15.0,15.0,32.0,22.0,43.0,PM25,BAIK
DKI4,50.0,44.0,15.0,18.0,8.0,10.0,50.0,PM25,BAIK
DKI4,30.0,49.0,15.0,14.0,17.0,21.0,49.0,PM10,BAIK
DKI4,55.0,82.0,15.0,23.0,24.0,23.0,82.0,PM10,SEDANG
DKI4,36.0,49.0,16.0,14.0,28.0,20.0,49.0,PM10,BAIK
DKI1,89.0,64.0,52.0,9.0,13.0,30.0,89.0,PM25,SEDANG
DKI1,93.0,53.0,52.0,4.0,12.0,28.0,93.0,PM25,SEDANG
DKI1,57.0,52.0,52.0,6.0,12.0,27.0,57.0,PM25,SEDANG
DKI1,54.0,22.0,46.0,15.0,24.0,44.0,54.0,PM25,SEDANG
DKI1,68.0,49.0,46.0,12.0,38.0,36.0,68.0,PM25,SEDANG
DKI1,77.0,52.0,45.0,14.0,34.0,44.0,77.0,PM25,SEDANG
DKI1,52.0,49.0,46.0,10.0,27.0,32.0,52.0,PM25,SEDANG
DKI1,62.0,50.0,48.0,13.0,25.0,31.0,62.0,PM25,SEDANG
DKI1,66.0,49.0,49.0,10.0,34.0,41.0,66.0,PM25,SEDANG
DKI1,58.0,51.0,47.0,10.0,24.0,36.0,58.0,PM25,SEDANG
DKI1,26.0,30.0,45.0,8.0,18.0,21.0,45.0,SO2,BAIK
DKI1,53.0,34.0,46.0,8.0,25.0,25.0,53.0,PM25,SEDANG
DKI1,49.0,39.0,45.0,6.0,20.0,20.0,49.0,PM25,BAIK
DKI1,72.0,55.0,47.0,10.0,21.0,30.0,72.0,PM25,SEDANG
DKI1,47.0,41.0,48.0,10.0,25.0,24.0,48.0,SO2,BAIK
DKI1,54.0,45.0,51.0,8.0,16.0,30.0,54.0,PM25,SEDANG
DKI1,58.0,45.0,47.0,11.0,14.0,27.0,58.0,PM25,SEDANG
DKI1,50.0,36.0,46.0,6.0,15.0,14.0,50.0,PM25,BAIK
DKI1,26.0,24.0,44.0,3.0,17.0,11.0,44.0,SO2,BAIK
DKI1,38.0,20.0,44.0,5.0,15.0,12.0,44.0,SO2,BAIK
DKI1,37.0,31.0,45.0,8.0,14.0,14.0,45.0,SO2,BAIK
DKI1,56.0,43.0,48.0,11.0,14.0,22.0,56.0,PM25,SEDANG
DKI1,59.0,39.0,48.0,9.0,17.0,26.0,59.0,PM25,SEDANG
DKI1,53.0,35.0,45.0,13.0,17.0,30.0,53.0,PM25,SEDANG
DKI1,67.0,39.0,46.0,31.0,14.0,28.0,67.0,PM25,SEDANG
DKI1,49.0,25.0,47.0,19.0,24.0,30.0,49.0,PM25,BAIK
DKI2,62.0,42.0,57.0,10.0,22.0,20.0,62.0,PM25,SEDANG
DKI2,55.0,38.0,56.0,14.0,16.0,45.0,56.0,SO2,SEDANG
DKI2,68.0,46.0,58.0,9.0,29.0,26.0,68.0,PM25,SEDANG
DKI2,87.0,59.0,59.0,14.0,34.0,29.0,87.0,PM25,SEDANG
DKI2,55.0,44.0,57.0,11.0,19.0,23.0,57.0,SO2,SEDANG
DKI2,68.0,51.0,58.0,16.0,18.0,53.0,68.0,PM25,SEDANG
DKI2,77.0,56.0,61.0,11.0,31.0,43.0,77.0,PM25,SEDANG
DKI2,54.0,44.0,56.0,11.0,19.0,27.0,56.0,SO2,SEDANG
DKI2,39.0,27.0,57.0,11.0,14.0,52.0,57.0,SO2,SEDANG
DKI2,54.0,35.0,57.0,10.0,16.0,28.0,57.0,SO2,SEDANG
DKI2,51.0,37.0,57.0,8.0,16.0,22.0,57.0,SO2,SEDANG
DKI2,67.0,52.0,58.0,12.0,14.0,32.0,67.0,PM25,SEDANG
DKI2,50.0,29.0,58.0,6.0,14.0,32.0,58.0,SO2,SEDANG
DKI2,51.0,35.0,59.0,8.0,12.0,44.0,59.0,SO2,SEDANG
DKI2,58.0,47.0,57.0,15.0,12.0,44.0,58.0,PM25,SEDANG
DKI2,32.0,21.0,56.0,8.0,12.0,21.0,56.0,SO2,SEDANG
DKI2,32.0,25.0,54.0,7.0,13.0,18.0,54.0,SO2,SEDANG
DKI2,48.0,31.0,54.0,8.0,13.0,18.0,54.0,SO2,SEDANG
DKI2,30.0,21.0,53.0,6.0,13.0,11.0,53.0,SO2,SEDANG
DKI2,38.0,29.0,53.0,6.0,12.0,14.0,53.0,SO2,SEDANG
DKI2,41.0,29.0,53.0,7.0,13.0,17.0,53.0,SO2,SEDANG
DKI2,58.0,40.0,55.0,9.0,14.0,38.0,58.0,PM25,SEDANG
DKI2,69.0,55.0,59.0,7.0,14.0,43.0,69.0,PM25,SEDANG
DKI2,23.0,24.0,53.0,5.0,16.0,17.0,53.0,SO2,SEDANG
DKI2,55.0,39.0,54.0,15.0,14.0,47.0,55.0,PM25,SEDANG
DKI2,51.0,37.0,53.0,12.0,13.0,48.0,53.0,SO2,SEDANG
DKI2,44.0,25.0,53.0,8.0,19.0,26.0,53.0,SO2,SEDANG
DKI5,99.0,58.0,40.0,18.0,55.0,12.0,99.0,PM25,SEDANG
DKI5,68.0,40.0,40.0,9.0,65.0,11.0,68.0,PM25,SEDANG
DKI5,54.0,32.0,39.0,7.0,63.0,10.0,63.0,O3,SEDANG
DKI5,59.0,38.0,46.0,10.0,55.0,12.0,59.0,PM25,SEDANG
DKI5,52.0,30.0,37.0,15.0,48.0,15.0,52.0,PM25,SEDANG
DKI5,64.0,32.0,39.0,12.0,61.0,14.0,64.0,PM25,SEDANG
DKI5,81.0,54.0,21.0,18.0,35.0,3.0,81.0,PM25,SEDANG
DKI5,73.0,43.0,18.0,11.0,70.0,7.0,73.0,PM25,SEDANG
DKI5,60.0,37.0,12.0,57.0,51.0,6.0,60.0,PM25,SEDANG
DKI5,20.0,28.0,11.0,6.0,43.0,4.0,43.0,O3,BAIK
DKI5,52.0,25.0,21.0,8.0,38.0,6.0,52.0,PM25,SEDANG
DKI5,50.0,30.0,19.0,8.0,58.0,6.0,58.0,O3,SEDANG
DKI5,81.0,51.0,24.0,11.0,55.0,11.0,81.0,PM25,SEDANG
DKI5,49.0,23.0,24.0,5.0,43.0,6.0,49.0,PM25,BAIK
DKI5,57.0,34.0,39.0,7.0,47.0,8.0,57.0,PM25,SEDANG
DKI5,56.0,37.0,25.0,8.0,39.0,8.0,56.0,PM25,SEDANG
DKI5,29.0,16.0,19.0,6.0,46.0,6.0,46.0,O3,BAIK
DKI5,28.0,17.0,33.0,7.0,23.0,6.0,33.0,SO2,BAIK
DKI5,51.0,26.0,37.0,10.0,18.0,5.0,51.0,PM25,SEDANG
DKI5,23.0,14.0,31.0,9.0,19.0,2.0,31.0,SO2,BAIK
DKI5,40.0,17.0,31.0,9.0,17.0,3.0,40.0,PM25,BAIK
DKI5,44.0,23.0,32.0,10.0,17.0,3.0,44.0,PM25,BAIK
DKI5,60.0,36.0,38.0,12.0,19.0,4.0,60.0,PM25,SEDANG
DKI5,54.0,27.0,37.0,10.0,26.0,9.0,54.0,PM25,SEDANG
DKI5,28.0,25.0,30.0,8.0,35.0,12.0,35.0,O3,BAIK
DKI5,66.0,46.0,31.0,18.0,34.0,16.0,66.0,PM25,SEDANG
DKI5,53.0,30.0,29.0,14.0,35.0,14.0,53.0,PM25,SEDANG
DKI5,63.0,40.0,29.0,15.0,37.0,16.0,63.0,PM25,SEDANG
DKI5,49.0,22.0,33.0,9.0,40.0,17.0,49.0,PM25,BAIK
DKI3,67.0,45.0,15.0,34.0,22.0,3.0,67.0,PM25,SEDANG
DKI3,70.0,54.0,15.0,70.0,14.0,24.0,70.0,PM25,SEDANG
DKI3,72.0,51.0,15.0,68.0,20.0,15.0,72.0,PM25,SEDANG
DKI3,67.0,55.0,15.0,46.0,13.0,22.0,67.0,PM25,SEDANG
DKI3,67.0,47.0,34.0,11.0,20.0,42.0,67.0,PM25,SEDANG
DKI3,80.0,58.0,35.0,15.0,17.0,43.0,80.0,PM25,SEDANG
DKI3,66.0,50.0,44.0,7.0,11.0,55.0,66.0,PM25,SEDANG
DKI3,78.0,57.0,43.0,17.0,5.0,54.0,78.0,PM25,SEDANG
DKI3,60.0,47.0,44.0,7.0,6.0,57.0,60.0,PM25,SEDANG
DKI3,76.0,56.0,49.0,13.0,6.0,23.0,76.0,PM25,SEDANG
DKI3,65.0,46.0,46.0,8.0,9.0,38.0,65.0,PM25,SEDANG
DKI3,55.0,37.0,47.0,7.0,11.0,28.0,55.0,PM25,SEDANG
DKI3,62.0,43.0,50.0,7.0,15.0,14.0,62.0,PM25,SEDANG
DKI3,52.0,40.0,48.0,8.0,12.0,10.0,52.0,PM25,SEDANG
DKI3,62.0,40.0,48.0,12.0,12.0,18.0,62.0,PM25,SEDANG
DKI3,44.0,33.0,47.0,14.0,12.0,24.0,47.0,SO2,BAIK
DKI3,46.0,58.0,48.0,22.0,12.0,33.0,58.0,PM10,SEDANG
DKI3,47.0,37.0,7.0,26.0,17.0,17.0,47.0,PM25,BAIK
DKI2,70.0,58.0,56.0,9.0,19.0,32.0,70.0,PM25,SEDANG
DKI2,62.0,49.0,56.0,9.0,16.0,39.0,62.0,PM25,SEDANG
DKI2,57.0,47.0,55.0,7.0,12.0,40.0,57.0,PM25,SEDANG
DKI2,39.0,28.0,56.0,4.0,16.0,15.0,56.0,SO2,SEDANG
DKI2,30.0,23.0,54.0,5.0,18.0,22.0,54.0,SO2,SEDANG
DKI2,71.0,59.0,55.0,14.0,11.0,68.0,71.0,PM25,SEDANG
DKI2,62.0,51.0,57.0,9.0,11.0,54.0,62.0,PM25,SEDANG
DKI2,35.0,32.0,54.0,9.0,13.0,36.0,54.0,SO2,SEDANG
DKI3,71.0,52.0,48.0,16.0,16.0,21.0,71.0,PM25,SEDANG
DKI3,53.0,39.0,47.0,12.0,10.0,33.0,53.0,PM25,SEDANG
DKI3,45.0,33.0,48.0,9.0,9.0,33.0,48.0,SO2,BAIK
DKI3,49.0,31.0,48.0,5.0,7.0,17.0,49.0,PM25,BAIK
DKI3,74.0,52.0,49.0,14.0,12.0,40.0,74.0,PM25,SEDANG
DKI3,74.0,61.0,50.0,16.0,9.0,37.0,74.0,PM25,SEDANG
DKI3,52.0,35.0,48.0,9.0,9.0,28.0,52.0,PM25,SEDANG
DKI3,67.0,49.0,54.0,9.0,16.0,17.0,67.0,PM25,SEDANG
DKI3,63.0,52.0,51.0,7.0,21.0,8.0,63.0,PM25,SEDANG
DKI3,68.0,50.0,50.0,19.0,14.0,52.0,68.0,PM25,SEDANG
DKI3,64.0,50.0,50.0,12.0,15.0,19.0,64.0,PM25,SEDANG
DKI3,87.0,64.0,53.0,19.0,12.0,22.0,87.0,PM25,SEDANG
DKI3,70.0,53.0,52.0,16.0,10.0,12.0,70.0,PM25,SEDANG
DKI3,63.0,47.0,50.0,14.0,15.0,8.0,63.0,PM25,SEDANG
DKI3,67.0,50.0,49.0,17.0,19.0,12.0,67.0,PM25,SEDANG
DKI3,93.0,65.0,50.0,15.0,21.0,13.0,93.0,PM25,SEDANG
DKI3,79.0,58.0,49.0,14.0,20.0,17.0,79.0,PM25,SEDANG
DKI3,71.0,59.0,48.0,12.0,8.0,17.0,71.0,PM25,SEDANG
DKI3,59.0,44.0,49.0,7.0,15.0,14.0,59.0,PM25,SEDANG
DKI3,62.0,44.0,49.0,6.0,13.0,29.0,62.0,PM25,SEDANG
DKI3,50.0,37.0,50.0,7.0,9.0,16.0,50.0,PM25,BAIK
DKI3,56.0,41.0,49.0,10.0,12.0,29.0,56.0,PM25,SEDANG
DKI3,88.0,64.0,50.0,20.0,14.0,19.0,88.0,PM25,SEDANG
DKI3,62.0,47.0,50.0,10.0,11.0,21.0,62.0,PM25,SEDANG
DKI3,13.0,54.0,50.0,12.0,12.0,41.0,54.0,PM10,SEDANG
DKI1,72.0,52.0,49.0,17.0,18.0,37.0,72.0,PM25,SEDANG
DKI1,62.0,50.0,49.0,12.0,19.0,26.0,62.0,PM25,SEDANG
DKI1,51.0,33.0,48.0,10.0,20.0,22.0,51.0,PM25,SEDANG
DKI1,38.0,24.0,46.0,9.0,16.0,14.0,46.0,SO2,BAIK
DKI1,67.0,38.0,47.0,13.0,18.0,28.0,67.0,PM25,SEDANG
DKI1,61.0,47.0,47.0,9.0,18.0,32.0,61.0,PM25,SEDANG
DKI1,49.0,32.0,49.0,8.0,15.0,22.0,49.0,PM25,BAIK
DKI1,60.0,42.0,47.0,6.0,15.0,20.0,60.0,PM25,SEDANG
DKI1,72.0,51.0,51.0,6.0,21.0,31.0,72.0,PM25,SEDANG
DKI1,57.0,46.0,51.0,7.0,28.0,20.0,57.0,PM25,SEDANG
DKI1,57.0,39.0,50.0,9.0,23.0,23.0,57.0,PM25,SEDANG
DKI1,54.0,33.0,50.0,7.0,25.0,23.0,54.0,PM25,SEDANG
DKI1,52.0,39.0,51.0,7.0,26.0,28.0,52.0,PM25,SEDANG
DKI1,38.0,25.0,52.0,8.0,26.0,24.0,52.0,SO2,SEDANG
DKI1,73.0,57.0,20.0,28.0,20.0,40.0,73.0,PM25,SEDANG
DKI1,50.0,36.0,16.0,21.0,23.0,23.0,50.0,PM25,BAIK
DKI1,55.0,38.0,15.0,20.0,24.0,26.0,55.0,PM25,SEDANG
DKI1,66.0,46.0,16.0,24.0,14.0,39.0,66.0,PM25,SEDANG
DKI1,61.0,42.0,16.0,21.0,21.0,31.0,61.0,PM25,SEDANG
DKI1,73.0,52.0,20.0,32.0,24.0,37.0,73.0,PM25,SEDANG
DKI1,73.0,56.0,19.0,22.0,23.0,35.0,73.0,PM25,SEDANG
DKI1,56.0,38.0,16.0,20.0,23.0,29.0,56.0,PM25,SEDANG
DKI1,57.0,38.0,20.0,20.0,12.0,19.0,57.0,PM25,SEDANG
DKI1,37.0,26.0,20.0,16.0,22.0,19.0,37.0,PM25,BAIK
DKI1,42.0,25.0,13.0,17.0,18.0,24.0,42.0,PM25,BAIK
DKI1,63.0,44.0,14.0,25.0,16.0,32.0,63.0,PM25,SEDANG
DKI1,59.0,43.0,14.0,21.0,13.0,31.0,59.0,PM25,SEDANG
DKI1,44.0,33.0,13.0,22.0,14.0,29.0,44.0,PM25,BAIK
DKI2,62.0,48.0,55.0,15.0,16.0,57.0,62.0,PM25,SEDANG
DKI2,53.0,36.0,55.0,9.0,13.0,43.0,55.0,SO2,SEDANG
DKI2,43.0,27.0,54.0,7.0,12.0,21.0,54.0,SO2,SEDANG
DKI2,71.0,53.0,56.0,13.0,17.0,40.0,71.0,PM25,SEDANG
DKI2,55.0,44.0,54.0,10.0,13.0,37.0,55.0,PM25,SEDANG
DKI2,53.0,37.0,56.0,11.0,10.0,48.0,56.0,SO2,SEDANG
DKI2,73.0,59.0,56.0,13.0,14.0,56.0,73.0,PM25,SEDANG
DKI2,79.0,58.0,58.0,9.0,24.0,28.0,79.0,PM25,SEDANG
DKI2,57.0,47.0,55.0,5.0,21.0,20.0,57.0,PM25,SEDANG
DKI2,53.0,33.0,54.0,7.0,17.0,20.0,54.0,SO2,SEDANG
DKI2,52.0,34.0,55.0,7.0,18.0,22.0,55.0,SO2,SEDANG
DKI2,54.0,42.0,54.0,6.0,18.0,29.0,54.0,PM25,SEDANG
DKI2,40.0,24.0,54.0,6.0,20.0,31.0,54.0,SO2,SEDANG
DKI2,60.0,43.0,55.0,10.0,14.0,46.0,60.0,PM25,SEDANG
DKI2,83.0,67.0,56.0,21.0,12.0,80.0,83.0,PM25,SEDANG
DKI2,32.0,29.0,54.0,5.0,16.0,28.0,54.0,SO2,SEDANG
DKI2,64.0,44.0,54.0,8.0,17.0,35.0,64.0,PM25,SEDANG
DKI2,70.0,52.0,55.0,9.0,16.0,37.0,70.0,PM25,SEDANG
DKI2,81.0,55.0,56.0,13.0,24.0,36.0,81.0,PM25,SEDANG
DKI5,82.0,51.0,34.0,17.0,33.0,22.0,82.0,PM25,SEDANG
DKI5,68.0,47.0,26.0,18.0,28.0,9.0,68.0,PM25,SEDANG
DKI5,48.0,24.0,25.0,12.0,29.0,10.0,48.0,PM25,BAIK
DKI5,24.0,17.0,23.0,7.0,27.0,4.0,27.0,O3,BAIK
DKI5,68.0,35.0,24.0,15.0,32.0,12.0,68.0,PM25,SEDANG
DKI5,74.0,59.0,25.0,16.0,38.0,14.0,74.0,PM25,SEDANG
DKI5,52.0,31.0,27.0,11.0,25.0,8.0,52.0,PM25,SEDANG
DKI5,66.0,40.0,25.0,11.0,28.0,8.0,66.0,PM25,SEDANG
DKI5,77.0,45.0,37.0,12.0,41.0,18.0,77.0,PM25,SEDANG
DKI5,60.0,33.0,28.0,6.0,46.0,11.0,60.0,PM25,SEDANG
DKI5,69.0,46.0,26.0,14.0,31.0,13.0,69.0,PM25,SEDANG
DKI5,54.0,30.0,24.0,11.0,37.0,12.0,54.0,PM25,SEDANG
DKI5,54.0,31.0,22.0,9.0,39.0,12.0,54.0,PM25,SEDANG
DKI5,58.0,32.0,24.0,11.0,38.0,15.0,58.0,PM25,SEDANG
DKI5,78.0,53.0,23.0,18.0,39.0,26.0,78.0,PM25,SEDANG
DKI5,67.0,43.0,22.0,12.0,32.0,18.0,67.0,PM25,SEDANG
DKI5,57.0,31.0,23.0,11.0,35.0,16.0,57.0,PM25,SEDANG
DKI5,81.0,49.0,22.0,19.0,31.0,23.0,81.0,PM25,SEDANG
DKI5,69.0,40.0,22.0,10.0,36.0,13.0,69.0,PM25,SEDANG
DKI5,94.0,55.0,20.0,12.0,115.0,18.0,115.0,O3,TIDAK SEHAT
DKI5,76.0,53.0,21.0,8.0,72.0,14.0,76.0,PM25,SEDANG
DKI5,58.0,29.0,19.0,7.0,59.0,10.0,59.0,O3,SEDANG
DKI5,53.0,28.0,24.0,9.0,59.0,8.0,59.0,O3,SEDANG
DKI5,50.0,25.0,30.0,14.0,35.0,9.0,50.0,PM25,BAIK
DKI5,41.0,24.0,23.0,17.0,45.0,14.0,45.0,O3,BAIK
DKI5,78.0,54.0,21.0,27.0,46.0,13.0,78.0,PM25,SEDANG
DKI5,60.0,33.0,22.0,20.0,48.0,18.0,60.0,PM25,SEDANG
DKI5,57.0,36.0,21.0,21.0,54.0,16.0,57.0,PM25,SEDANG
DKI1,62.0,45.0,14.0,30.0,23.0,37.0,62.0,PM25,SEDANG
DKI1,64.0,43.0,17.0,22.0,15.0,37.0,64.0,PM25,SEDANG
DKI1,51.0,33.0,17.0,20.0,22.0,27.0,51.0,PM25,SEDANG
DKI1,54.0,34.0,14.0,19.0,20.0,25.0,54.0,PM25,SEDANG
DKI1,43.0,24.0,13.0,19.0,20.0,22.0,43.0,PM25,BAIK
DKI1,38.0,25.0,15.0,17.0,17.0,21.0,38.0,PM25,BAIK
DKI1,35.0,23.0,14.0,17.0,20.0,21.0,35.0,PM25,BAIK
DKI1,34.0,19.0,13.0,15.0,22.0,15.0,34.0,PM25,BAIK
DKI1,30.0,29.0,17.0,17.0,19.0,21.0,30.0,PM25,BAIK
DKI1,72.0,53.0,17.0,27.0,20.0,35.0,72.0,PM25,SEDANG
DKI1,47.0,35.0,12.0,17.0,14.0,21.0,47.0,PM25,BAIK
DKI1,50.0,31.0,11.0,13.0,21.0,19.0,50.0,PM25,BAIK
DKI1,60.0,42.0,14.0,15.0,19.0,25.0,60.0,PM25,SEDANG
DKI1,52.0,36.0,12.0,17.0,17.0,29.0,52.0,PM25,SEDANG
DKI1,44.0,32.0,15.0,16.0,22.0,22.0,44.0,PM25,BAIK
DKI1,27.0,23.0,13.0,13.0,23.0,20.0,27.0,PM25,BAIK
DKI1,37.0,24.0,14.0,12.0,21.0,16.0,37.0,PM25,BAIK
DKI1,35.0,22.0,16.0,11.0,20.0,17.0,35.0,PM25,BAIK
DKI1,47.0,29.0,14.0,13.0,18.0,18.0,47.0,PM25,BAIK
DKI1,47.0,27.0,13.0,17.0,10.0,16.0,47.0,PM25,BAIK
DKI1,51.0,28.0,18.0,16.0,11.0,18.0,51.0,PM25,SEDANG
DKI1,28.0,24.0,10.0,17.0,17.0,26.0,28.0,PM25,BAIK
DKI1,100.0,63.0,15.0,31.0,30.0,47.0,100.0,PM25,SEDANG
DKI1,71.0,52.0,13.0,15.0,38.0,30.0,71.0,PM25,SEDANG
DKI1,64.0,44.0,13.0,16.0,25.0,39.0,64.0,PM25,SEDANG
DKI1,73.0,52.0,13.0,21.0,25.0,37.0,73.0,PM25,SEDANG
DKI1,77.0,57.0,13.0,22.0,17.0,43.0,77.0,PM25,SEDANG
DKI1,92.0,62.0,19.0,22.0,33.0,45.0,92.0,PM25,SEDANG
DKI1,90.0,62.0,16.0,19.0,35.0,50.0,90.0,PM25,SEDANG
DKI1,75.0,56.0,16.0,21.0,29.0,44.0,75.0,PM25,SEDANG
DKI1,79.0,53.0,12.0,23.0,32.0,41.0,79.0,PM25,SEDANG
DKI2,62.0,50.0,55.0,10.0,20.0,42.0,62.0,PM25,SEDANG
DKI2,41.0,35.0,54.0,6.0,20.0,31.0,54.0,SO2,SEDANG
DKI2,55.0,39.0,54.0,8.0,22.0,32.0,55.0,PM25,SEDANG
DKI2,54.0,30.0,54.0,9.0,20.0,31.0,54.0,PM25,SEDANG
DKI2,51.0,31.0,54.0,5.0,19.0,19.0,54.0,SO2,SEDANG
DKI2,46.0,31.0,55.0,6.0,19.0,25.0,55.0,SO2,SEDANG
DKI2,44.0,24.0,54.0,4.0,20.0,12.0,54.0,SO2,SEDANG
DKI2,45.0,33.0,55.0,6.0,13.0,24.0,55.0,SO2,SEDANG
DKI2,86.0,63.0,55.0,30.0,14.0,85.0,86.0,PM25,SEDANG
DKI2,61.0,46.0,54.0,10.0,19.0,37.0,61.0,PM25,SEDANG
DKI2,55.0,33.0,54.0,3.0,23.0,14.0,55.0,PM25,SEDANG
DKI2,58.0,41.0,54.0,5.0,22.0,22.0,58.0,PM25,SEDANG
DKI2,50.0,37.0,54.0,4.0,23.0,21.0,54.0,SO2,SEDANG
DKI2,44.0,36.0,54.0,10.0,15.0,36.0,54.0,SO2,SEDANG
DKI2,32.0,26.0,54.0,6.0,18.0,18.0,54.0,SO2,SEDANG
DKI2,34.0,27.0,55.0,6.0,15.0,17.0,55.0,SO2,SEDANG
DKI2,33.0,26.0,55.0,5.0,16.0,17.0,55.0,SO2,SEDANG
DKI2,46.0,32.0,55.0,5.0,17.0,21.0,55.0,SO2,SEDANG
DKI2,52.0,26.0,54.0,6.0,15.0,19.0,54.0,SO2,SEDANG
DKI2,55.0,31.0,55.0,5.0,17.0,19.0,55.0,PM25,SEDANG
DKI2,34.0,26.0,54.0,4.0,19.0,26.0,54.0,SO2,SEDANG
DKI2,111.0,70.0,55.0,22.0,28.0,82.0,111.0,PM25,TIDAK SEHAT
DKI2,69.0,55.0,55.0,5.0,32.0,19.0,69.0,PM25,SEDANG
DKI2,66.0,53.0,56.0,5.0,33.0,16.0,66.0,PM25,SEDANG
DKI2,83.0,63.0,58.0,8.0,25.0,42.0,83.0,PM25,SEDANG
