stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI4,67.0,39.0,42.0,9.0,57.0,22.0,67.0,PM25,SEDANG
DKI3,103.0,68.0,43.0,30.0,49.0,37.0,103.0,PM25,TIDAK SEHAT
DKI3,85.0,61.0,43.0,15.0,59.0,28.0,85.0,PM25,SEDANG
DKI2,61.0,43.0,43.0,10.0,36.0,18.0,61.0,PM25,SEDANG
DKI2,52.0,30.0,42.0,11.0,43.0,19.0,52.0,PM25,SEDANG
DKI2,57.0,39.0,51.0,12.0,40.0,22.0,57.0,PM25,SEDANG
DKI5,77.0,55.0,43.0,14.0,49.0,28.0,77.0,PM25,SEDANG
DKI3,101.0,64.0,43.0,16.0,50.0,29.0,101.0,PM25,TIDAK SEHAT
DKI4,108.0,66.0,50.0,18.0,60.0,31.0,108.0,PM25,TIDAK SEHAT
DKI2,93.0,69.0,51.0,20.0,54.0,31.0,93.0,PM25,SEDANG
DKI2,82.0,70.0,63.0,18.0,64.0,40.0,82.0,PM25,SEDANG
DKI2,81.0,65.0,55.0,16.0,65.0,32.0,81.0,PM25,SEDANG
DKI5,88.0,67.0,55.0,27.0,50.0,42.0,88.0,PM25,SEDANG
DKI2,94.0,69.0,55.0,20.0,50.0,44.0,94.0,PM25,SEDANG
DKI5,118.0,67.0,43.0,20.0,39.0,41.0,118.0,PM25,TIDAK SEHAT
DKI5,93.0,57.0,42.0,16.0,32.0,26.0,93.0,PM25,SEDANG
DKI5,108.0,63.0,52.0,14.0,41.0,30.0,108.0,PM25,TIDAK SEHAT
DKI2,94.0,64.0,52.0,12.0,55.0,30.0,94.0,PM25,SEDANG
DKI5,105.0,76.0,56.0,19.0,50.0,37.0,105.0,PM25,TIDAK SEHAT
DKI4,99.0,63.0,52.0,14.0,60.0,40.0,99.0,PM25,SEDANG
DKI4,112.0,75.0,51.0,16.0,65.0,42.0,112.0,PM25,TIDAK SEHAT
DKI2,115.0,88.0,61.0,18.0,73.0,40.0,115.0,PM25,TIDAK SEHAT
